timestamp,probe_rtt,sosd_comm_rank,queue_depth_local,queue_depth_cloud,queue_depth_db_tasks,queue_depth_db_snaps,thread_local_wakeup,thread_cloud_wakeup,thread_db_wakeup,feedback_checkin_messages,socket_messages,socket_bytes_recv,socket_bytes_sent,mpi_sends,mpi_bytes,db_transactions,db_insert_announce,db_insert_announce_nop,db_insert_publish,db_insert_publish_nop,db_insert_val_snaps,db_insert_val_snaps_nop,buffer_creates,buffer_bytes_on_heap,buffer_destroys,pipe_creates,pub_handles
1465232391.484771,0.000171,0,           0,           0,           1,      100000,7205,1156326,1028920,24,7361,165860392,202504,880,165860144,13,4,0,4,34,13,0,0,0,0,0,4
1465232391.585005,0.000166,0,           0,           0,           1,      100000,7205,1158090,1028920,24,7362,165860416,202728,880,165860144,14,4,0,4,38,13,0,0,0,0,0,4
1465232391.685216,0.000168,0,           0,           0,           1,      100000,7205,1159828,1028920,24,7363,165860440,202952,880,165860144,14,4,0,4,38,13,0,0,0,0,0,4
1465232391.785454,0.000180,0,           0,           0,           1,      100000,7205,1161545,1028920,24,7364,165860464,203176,880,165860144,14,4,0,4,38,13,0,0,0,0,0,4
1465232391.885733,0.000209,0,           0,           0,           0,           0,7205,1163273,1028921,24,7365,165860488,203400,880,165860144,14,4,0,4,38,14,0,0,0,0,0,4
1465232391.985910,0.000104,0,         104,          16,           5,       50916,7408,1163296,1028921,24,7674,172931144,211016,898,169752984,14,4,0,4,38,14,0,0,0,0,0,4
1465232392.086155,0.000175,0,           0,           0,           5,      100000,7605,1163648,1028921,24,7767,175071736,213448,919,175071500,14,4,0,4,38,14,0,0,0,0,0,4
1465232392.186420,0.000197,0,           0,           0,           5,      100000,7605,1165380,1028921,24,7768,175071760,213672,919,175071500,14,4,0,4,38,14,0,0,0,0,0,4
1465232392.286659,0.000163,0,           0,           0,           5,      100000,7605,1167150,1028921,24,7769,175071784,213896,919,175071500,15,4,0,4,38,14,0,0,0,0,0,4
1465232392.386846,0.000139,0,           0,           0,           5,      100000,7605,1168867,1028921,24,7770,175071808,214120,919,175071500,15,4,0,4,38,14,0,0,0,0,0,4
1465232392.487099,0.000129,0,           0,           0,           5,      100491,7606,1170579,1028921,24,7773,175117888,214392,919,175071500,15,4,0,4,38,14,0,0,0,0,0,4
1465232392.587281,0.000107,0,         154,           8,           5,      161000,7849,1170611,1028921,24,8171,184249032,224144,949,180346068,15,4,0,4,38,14,0,0,0,0,0,4
1465232392.687449,0.000134,0,           0,           0,           1,       35000,8005,1171398,1028922,24,8173,184283080,224392,966,184282888,15,4,0,4,39,15,0,0,0,0,0,4
1465232392.787701,0.000183,0,           0,           0,           1,       35000,8005,1173081,1028922,24,8174,184283104,224616,966,184282888,15,4,0,4,39,15,0,0,0,0,0,4
1465232392.887971,0.000197,0,           0,           0,           1,       35000,8005,1174795,1028922,24,8175,184283128,224840,966,184282888,15,4,0,4,39,15,0,0,0,0,0,4
1465232392.988144,0.000121,0,           0,           0,           1,       35000,8005,1176521,1028922,28,8180,184283248,225244,966,184282888,15,4,0,4,39,15,0,0,0,0,0,4
1465232393.088314,0.000098,0,           5,           0,           2,       52891,8076,1177556,1028922,28,8258,186045432,227316,979,185722708,15,4,0,4,39,15,0,0,0,0,0,4
1465232393.188554,0.000168,0,         109,           7,           2,      107112,8295,1177639,1028922,28,8582,193494496,235292,1004,190616776,15,4,0,4,39,15,0,0,0,0,0,4
1465232393.288806,0.000197,0,           0,           0,           5,      135000,8405,1178558,1028922,28,8583,193494520,235516,1020,193494304,16,4,0,4,42,15,0,0,0,0,0,4
1465232393.389018,0.000144,0,           0,           0,           5,      135000,8405,1180308,1028922,28,8584,193494544,235740,1020,193494304,16,4,0,4,42,15,0,0,0,0,0,4
1465232393.489240,0.000153,0,           0,           0,           0,           0,8405,1182082,1028923,28,8585,193494568,235964,1020,193494304,16,4,0,4,42,16,0,0,0,0,0,4
1465232393.589447,0.000143,0,           0,           0,           0,           0,8405,1183806,1028923,28,8586,193494592,236188,1020,193494304,16,4,0,4,42,16,0,0,0,0,0,4
1465232393.689636,0.000113,0,          54,           6,           1,       36261,8552,1184236,1028923,28,8789,198124280,241260,1043,196628276,16,4,0,4,42,16,0,0,0,0,0,4
1465232393.789879,0.000173,0,           0,           0,           1,      100000,8805,1184290,1028923,28,8988,202705840,246236,1072,202705712,16,4,0,4,42,16,0,0,0,0,0,4
1465232393.890137,0.000191,0,           0,           0,           1,      100000,8805,1186006,1028923,28,8989,202705864,246460,1072,202705712,16,4,0,4,42,16,0,0,0,0,0,4
1465232393.990410,0.000202,0,           0,           0,           1,      100000,8805,1187721,1028923,28,8990,202705888,246684,1072,202705712,16,4,0,4,42,16,0,0,0,0,0,4
